Timestamp,Voltage
0.00,1.734
0.00,1.687
0.00,1.734
0.00,1.711
0.00,1.746
0.00,1.793
0.00,1.793
0.00,1.828
0.00,1.852
0.00,1.910
0.00,1.898
0.00,1.934
0.01,1.852
0.01,1.805
0.01,1.699
0.01,1.594
0.01,1.547
0.01,1.441
0.01,1.500
0.01,1.500
0.01,1.500
0.01,1.418
0.01,1.430
0.01,1.418
0.01,1.500
0.01,1.430
0.01,1.441
0.01,1.500
0.01,1.418
0.01,1.500
0.01,1.430
0.01,1.500
0.01,1.500
0.01,1.500
0.01,1.523
0.01,1.465
0.01,1.500
0.01,1.453
0.01,1.500
0.01,1.441
0.02,1.488
0.03,1.477
0.04,1.500
0.05,1.488
0.07,1.477
0.07,1.500
0.09,1.465
0.10,1.523
0.11,1.465
0.12,1.512
0.13,1.477
0.14,1.500
0.15,1.500
0.16,1.500
0.18,1.559
0.18,1.500
0.20,1.535
0.21,1.500
0.22,1.512
0.23,1.500
0.24,1.512
0.25,1.535
0.26,1.535
0.27,1.559
0.29,1.512
0.29,1.570
0.31,1.523
0.32,1.559
0.33,1.523
0.34,1.547
0.35,1.617
0.36,1.605
0.37,1.617
0.38,1.559
0.40,1.594
0.41,1.535
0.42,1.559
0.43,1.512
0.44,1.523
0.45,1.535
0.46,1.523
0.47,1.547
0.48,1.523
0.50,1.758
0.51,1.664
0.52,1.641
0.53,1.500
0.54,1.031
0.55,1.500
0.56,1.641
0.57,1.664
0.59,1.629
0.59,1.699
0.61,1.641
0.62,1.711
0.63,1.676
0.64,1.723
0.65,1.699
0.66,1.723
0.67,1.734
0.68,1.723
0.70,1.793
0.70,1.758
0.72,1.852
0.73,1.828
0.74,1.910
0.75,1.910
0.76,1.922
0.77,1.898
0.78,1.781
0.79,1.746
0.81,1.605
0.81,1.559
0.83,1.465
0.84,1.500
0.85,1.500
0.86,1.500
0.87,1.418
0.88,1.453
0.89,1.465
0.90,1.406
0.92,1.500
0.92,1.500
0.94,1.465
0.95,1.441
0.96,1.477
0.97,1.477
0.98,1.465
1.00,1.488
1.00,1.465
1.02,1.512
1.03,1.500
1.04,1.500
1.05,1.477
1.06,1.500
1.07,1.500
1.08,1.500
1.09,1.488
1.11,1.465
1.11,1.500
1.13,1.453
1.14,1.535
1.15,1.465
