Timestamp,Voltage
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.00,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.01,4.551
0.02,4.512
0.04,4.414
0.06,4.297
0.08,4.199
0.11,4.141
0.13,4.121
0.15,4.102
0.17,4.102
0.19,4.102
0.21,4.102
0.23,4.102
0.25,4.102
0.27,4.102
0.29,4.102
0.31,4.102
0.34,4.102
0.36,4.102
0.38,4.102
0.40,4.082
0.42,4.082
0.44,4.082
0.46,4.082
0.48,4.082
0.50,4.063
0.53,4.043
0.55,4.023
0.57,3.984
0.59,3.945
0.61,3.906
0.63,3.867
0.65,3.809
0.67,3.770
0.70,3.730
0.72,3.691
0.74,3.633
0.76,3.594
0.78,3.555
0.80,3.516
0.82,3.477
0.84,3.457
0.86,3.457
0.88,3.457
0.90,3.477
0.92,3.457
0.95,3.477
0.97,3.457
0.99,3.457
1.01,3.477
1.03,3.477
1.05,3.457
1.07,3.457
1.09,3.457
1.12,3.457
1.14,3.457
1.16,3.457
1.18,3.457
1.20,3.457
1.22,3.457
1.24,3.457
1.26,3.457
1.29,3.457
1.31,3.437
1.33,3.418
1.35,3.379
1.37,3.320
1.39,3.242
1.41,3.164
1.43,3.086
1.45,3.027
1.47,2.988
1.50,2.949
1.51,2.930
